id;user_id;olympiad_id;olympiad_title;user_full_name;gender;class_grade;city;school;started_at;completed_at;duration_sec;score_total;score_max;percent
12737;12528;53;Информатика очный тур 2026;Большакова Мария Дмитриевна;female;4;Иваново;"МБОУ ""Лицей №33""";2026-04-02 10:00:00+03;2026-04-02 11:00:00+00;60;9;15;60
12738;9487;53;Информатика очный тур 2027;Галкина Мария Дмитриевна;female;4;Иваново;"МБОУ ""Лицей №33""";2026-04-02 10:00:00+03;2026-04-02 11:00:00+00;60;3;15;20
12739;1852;53;Информатика очный тур 2028;Завадский Никита Алексеевич;male;4;Иваново;"МБОУ ""Лицей №33""";2026-04-02 10:00:00+03;2026-04-02 11:00:00+00;60;12;15;80
12740;1654;53;Информатика очный тур 2029;Исмайлова Вероника Павловна;female;4;Иваново;"МБОУ ""Лицей №33""";2026-04-02 10:00:00+03;2026-04-02 11:00:00+00;60;1;15;7
12741;1379;53;Информатика очный тур 2030;Каширин Максим Антонович;male;4;Иваново;"МБОУ ""Лицей №33""";2026-04-02 10:00:00+03;2026-04-02 11:00:00+00;60;0;15;0
12742;4903;53;Информатика очный тур 2031;Манашова Арина Андреевна;female;4;Иваново;"МБОУ ""Лицей №33""";2026-04-02 10:00:00+03;2026-04-02 11:00:00+00;60;5;15;34
12743;11475;53;Информатика очный тур 2032;Услугин Роман Алексеевич;male;4;Иваново;"МБОУ ""Лицей №33""";2026-04-02 10:00:00+03;2026-04-02 11:00:00+00;60;0;15;0
12744;6453;53;Информатика очный тур 2033;Снежина Снежана Снежановна;female;5;Санкт-Петербург;ГБОУ лицей № 344 Невского района Санкт-Петербурга;2026-04-02 10:00:00+03;2026-04-02 11:00:00+00;60;15;15;100
